"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
66,0,0,0,3,0,0,0,0,0,0
67,0,0,0,0,0,0,1,0,0,0
67,0,0,0,1,0,0,1,1,1,0
68,0,0,0,0,0,0,0,0,0,2
69,1,0,0,1,0,0,0,0,0,1
70,0,0,0,0,0,0,1,1,1,0
70,0,0,0,0,0,0,0,0,1,2
70,0,0,0,0,0,0,1,0,0,1
70,1,0,0,0,0,0,0,1,0,1
71,0,0,0,0,1,0,0,1,1,1
72,0,0,0,0,0,0,0,1,0,2
72,0,0,0,0,0,0,0,0,0,2
72,1,0,0,0,0,0,0,0,0,1
73,0,0,0,0,0,0,1,1,2,2
73,1,0,0,0,1,0,2,2,1,1
74,0,0,0,0,1,0,1,1,0,0
74,0,0,0,0,0,0,1,0,0,1
75,0,0,1,0,0,0,0,0,0,0
77,1,0,0,0,0,0,0,0,0,1
78,1,0,0,2,1,0,2,3,2,0
79,0,0,0,0,0,0,0,0,1,0
